book,gender,name,book_year,type
The Mysterious Affair at Styles,man,Alfred Inglethorp,1920,murderer
Murder on the Links,woman,Marthe Daubreuil,1923,murderer
The Murder of Roger Ackroyd,man,Dr James Sheppard,1926,murderer
The Big Four,man,Abe Rylan,1927,murderer
The Big Four,man,Claude Darrell,1927,murderer
The Big Four,man,Li Chang Yen,1927,murderer
The Big Four,woman,Madame Olivier,1927,murderer
The Mystery of the Blue Train,man,Major Knighton,1928,murderer
The Mystery of the Blue Train,woman,Ada Mason aka Kitty Kidd,1928,murderer
Peril at End House,woman,"Magdala ""Nick"" Buckley",1931,murderer
Lord Edgware Dies,woman,Jane Wilkinson,1933,murderer
Murder on the Orient Express,woman,Mary Debenham,1934,murderer
Murder on the Orient Express,woman,Mrs. Hubbard,1934,murderer
Murder on the Orient Express,man,Colonel Arbuthnot,1934,murderer
Murder on the Orient Express,woman,Princess Dragomiroff,1934,murderer
Murder on the Orient Express,man,Hector McQueen,1934,murderer
Murder on the Orient Express,woman,Countess Andrenyi,1934,murderer
Murder on the Orient Express,man,Count Andrenyi,1934,murderer
Murder on the Orient Express,man,Cyrus Hardman,1934,murderer
Murder on the Orient Express,man,Antonoi Foscanelli,1934,murderer
Murder on the Orient Express,woman,Greta Ohlsson,1934,murderer
Murder on the Orient Express,woman,Hildegarde Schmidt,1934,murderer
Murder on the Orient Express,man,Pierre Michelle,1934,murderer
Three Act Tragedy,man,Charles Cartwright,1934,murderer
Death in The Clouds,man,Norman Gale,1935,murderer
Murder in Mesopotamia,man,Dr Erich Leidner aka Frederick Bosner,1935,murderer
The ABC Murders,man,Franklin Clarke ,1936,murderer
Cards on the Table,man,Dr Geoffrey Roberts,1936,murderer
Dumb Witness,woman,Bella Tanios,1937,murderer
Death on the Nile,man,Simon Doyle,1937,murderer
Death on the Nile,woman,Jacqueline de Bellefort,1937,murderer
Appointment with Death,woman,Lady Westholme,1937,murderer
Hercule Poirot's Christmas,man,Superintendent Sugden,1938,murderer
Sad Cypress,woman,Jessie Hopkins,1940,murderer
Evil Under the Sun,man,Patrick Redfern,1940,murderer
Evil Under the Sun,woman,Christine Redfern,1940,murderer
"One, Two, Buckle my Shoe",man,Martin Alistair Blunt,1940,murderer
Five Little Pigs,woman,Elsa Greer,1941,murderer
The Hollow,woman,Gerda Christow,1946,murderer
Taken at the Flood,man,David Hunter,1948,murderer
Mrs McGinty's Dead,man,Robin Upward,1952,murderer
After the Funeral,woman,Miss Gilchrist,1953,murderer
Hickory Dickory Dock,man,Nigel Chapman,1955,murderer
Dead Man's Folly,man,James,1956,murderer
Cat Among the Pigeons,woman,Ann Shapland,1959,murderer
The Clocks,man,Josiah Bland,1963,murderer
The Clocks,woman,Valerie Bland,1963,murderer
Third Girl,woman,Frances Cary,1966,murderer
Hallowe'en Party,woman,Rowena Drake,1969,murderer
Elephants can Remember,man,Alistair Ravenscroft,1972,murderer
Curtain,man,Hercule Poirot,1975,murderer
The Mysterious Affair at Styles,woman,Mrs Inglethorpe,1920,victim
Murder on the Links,man,Paul Renauld,1923,victim
The Murder of Roger Ackroyd,man,Roger Ackroyd,1926,victim
The Murder of Roger Ackroyd,woman,Mrs Ferrars,1926,victim
The Big Four,man,Mayerling,1927,victim
The Big Four,man,Mr Jonathan Whalley,1927,victim
The Big Four,man,Mr Paynter,1927,victim
The Big Four,man,Gilmour Wilson,1927,victim
The Big Four,man,John Ingles,1927,victim
